"","Date","Time","Lat","Lon","Wind..mph.","Pressure","Storm.Type"
"1","08/23/2005","18 GMT",23.1,75.1,35,1008,"Tropical Depression"
"2","08/24/2005","00 GMT",23.4,75.7,35,1007,"Tropical Depression"
"3","08/24/2005","06 GMT",23.8,76.2,35,1007,"Tropical Depression"
"4","08/24/2005","12 GMT",24.5,76.5,40,1006,"Tropical Storm"
"5","08/24/2005","18 GMT",25.4,76.9,45,1003,"Tropical Storm"
"6","08/25/2005","00 GMT",26,77.7,50,1000,"Tropical Storm"
"7","08/25/2005","06 GMT",26.1,78.4,60,997,"Tropical Storm"
"8","08/25/2005","12 GMT",26.2,79,65,994,"Tropical Storm"
"9","08/25/2005","18 GMT",26.2,79.6,70,988,"Tropical Storm"
"10","08/26/2005","00 GMT",25.9,80.3,80,983,"Category 1 Hurricane"
"11","08/26/2005","06 GMT",25.4,81.3,75,987,"Category 1 Hurricane"
"12","08/26/2005","12 GMT",25.1,82,85,979,"Category 1 Hurricane"
"13","08/26/2005","18 GMT",24.9,82.6,100,968,"Category 2 Hurricane"
"14","08/27/2005","00 GMT",24.6,83.3,105,959,"Category 2 Hurricane"
"15","08/27/2005","06 GMT",24.4,84,110,950,"Category 2 Hurricane"
"16","08/27/2005","12 GMT",24.4,84.7,115,942,"Major Hurricane"
"17","08/27/2005","18 GMT",24.5,85.3,115,948,"Major Hurricane"
"18","08/28/2005","00 GMT",24.8,85.9,115,941,"Major Hurricane"
"19","08/28/2005","06 GMT",25.2,86.7,145,930,"Major Hurricane"
"20","08/28/2005","12 GMT",25.7,87.7,165,909,"Major Hurricane"
"21","08/28/2005","18 GMT",26.3,88.6,175,902,"Major Hurricane"
"22","08/29/2005","00 GMT",27.2,89.2,160,905,"Major Hurricane"
"23","08/29/2005","06 GMT",28.2,89.6,145,913,"Major Hurricane"
"24","08/29/2005","12 GMT",29.5,89.6,125,923,"Major Hurricane"
"25","08/29/2005","18 GMT",31.1,89.6,90,948,"Category 1 Hurricane"
"26","08/30/2005","00 GMT",32.6,89.1,60,961,"Tropical Storm"
"27","08/30/2005","06 GMT",34.1,88.6,45,978,"Tropical Storm"
"28","08/30/2005","12 GMT",35.6,88,35,985,"Tropical Depression"
"29","08/30/2005","18 GMT",37,87,35,990,"Tropical Depression"
"30","08/31/2005","00 GMT",38.6,85.3,35,994,"Extratropical Storm"
"31","08/31/2005","06 GMT",40.1,82.9,30,996,"Extratropical Storm"
